Altium Designer Pick and Place Locations
C:\Work\rusefi\github\hellen-private\!release\modules\hellen1-mega-mcu144\jlc-0.1\mega-mcu144-altium-CPL.csv

========================================================================================================================
File Design Information:

Date:       01.12.22
Time:       21:48
Revision:   cacda91cc45296b51808e5c1a19cf02404eedbcb
Variant:    jlc-0.1
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","PackageReference"
"R211","33.8000mm","37.3000mm","TopLayer","270","R0402"
"R210","35.0000mm","37.3000mm","TopLayer","270","R0402"
"R208","36.2000mm","38.3000mm","TopLayer","90","R0402"
"R207","37.4000mm","38.3000mm","TopLayer","90","R0402"
"R206","38.6000mm","38.3000mm","TopLayer","90","R0402"
"R205","39.8000mm","38.3000mm","TopLayer","90","R0402"
"R204","36.2000mm","37.3000mm","TopLayer","270","R0402"
"R203","37.4000mm","37.3000mm","TopLayer","270","R0402"
"R202","38.6000mm","37.3000mm","TopLayer","270","R0402"
"R201","39.8000mm","37.3000mm","TopLayer","270","R0402"
"R1000","29.8999mm","32.9000mm","BottomLayer","180","R0402"
"P1047","18.4000mm","24.5000mm","TopLayer","90",""
"P1046","27.1000mm","24.3000mm","TopLayer","90",""
"P1045","22.8000mm","24.6000mm","TopLayer","90",""
"P201","6.1300mm","38.8000mm","TopLayer","270",""
"P200","41.1000mm","39.3000mm","TopLayer","270",""
"P493","13.6000mm","24.6000mm","TopLayer","0",""
"P492","10.7000mm","24.6000mm","TopLayer","0",""
"P491","7.7000mm","24.6000mm","TopLayer","0",""
"P490","6.4000mm","23.4000mm","TopLayer","0",""
"J450","14.4249mm","11.7470mm","BottomLayer","0","SDAMB-012"
"D430","37.5748mm","13.0345mm","BottomLayer","180","SOT-23"
"D205","2.5000mm","22.6500mm","TopLayer","270","SMB"
"D207","9.2000mm","34.5000mm","TopLayer","180","SOT23-6"
"D206","14.0000mm","34.5000mm","TopLayer","180","SOT23-6"
"D204","18.8000mm","34.5000mm","TopLayer","180","SOT23-6"
"D203","23.6000mm","34.5000mm","TopLayer","180","SOT23-6"
"D201","33.2000mm","34.5000mm","TopLayer","180","SOT23-6"
"D200","38.0000mm","34.5000mm","TopLayer","180","SOT23-6"
"D9","31.8500mm","21.7000mm","TopLayer","0","LED-0603"
"D8","36.0500mm","21.7000mm","TopLayer","0","LED-0603"
"D7","31.8500mm","19.9000mm","TopLayer","0","LED-0603"
"D6","36.0500mm","19.9000mm","TopLayer","0","LED-0603"
"D5","31.8500mm","18.1000mm","TopLayer","0","LED-0603"
"D4","36.0500mm","18.1000mm","TopLayer","0","LED-0603"
"D3","31.8500mm","16.3000mm","TopLayer","0","LED-0603"
"D2","36.0500mm","16.3000mm","TopLayer","0","LED-0603"
"D202","28.4000mm","34.5000mm","TopLayer","180","SOT23-6"
"C494","5.1000mm","35.4000mm","TopLayer","90","C0402"
"C495","3.9000mm","35.4000mm","TopLayer","270","C0402"
"C496","2.7000mm","35.4000mm","TopLayer","90","C0402"
"C497","1.5000mm","35.4000mm","TopLayer","90","C0402"
"C461","31.7000mm","23.4000mm","TopLayer","180","C0402"
"C460","38.2000mm","23.3000mm","TopLayer","270","C0402"
"C451","22.4000mm","10.2000mm","BottomLayer","270","C0603"
"C450","3.9999mm","16.1900mm","BottomLayer","90","C0603"
"C431","38.3000mm","10.5000mm","BottomLayer","0","C0402"
"C430","40.8000mm","10.5000mm","BottomLayer","180","C0402"
"C285","33.6169mm","31.3000mm","BottomLayer","180","C0402"
"C280","30.2830mm","31.3000mm","BottomLayer","0","C0402"
"C275","39.9170mm","31.3000mm","BottomLayer","180","C0402"
"C270","36.5830mm","31.3000mm","BottomLayer","0","C0402"
"C229","6.2999mm","38.3000mm","BottomLayer","90","C0402"
"C224","41.1000mm","37.7000mm","TopLayer","270","C0402"
"C223","41.1000mm","33.4500mm","TopLayer","270","C0402"
"C222","41.1000mm","35.7500mm","BottomLayer","270","C0402"
"C221","6.2000mm","36.4000mm","TopLayer","270","C0402"
"C220","23.5999mm","32.2000mm","BottomLayer","0","C0402"
"C230","11.0000mm","34.4000mm","BottomLayer","90","C0402"
"C231","9.7999mm","34.4000mm","BottomLayer","90","C0402"
"C232","8.6000mm","34.4000mm","BottomLayer","90","C0402"
"C225","15.7999mm","34.4000mm","BottomLayer","90","C0402"
"C226","14.6000mm","34.4000mm","BottomLayer","90","C0402"
"C227","13.3999mm","34.4000mm","BottomLayer","90","C0402"
"C228","12.2000mm","34.4000mm","BottomLayer","90","C0402"
"C216","20.6000mm","34.4000mm","BottomLayer","90","C0402"
"C217","19.3999mm","34.4000mm","BottomLayer","90","C0402"
"C218","18.2000mm","34.4000mm","BottomLayer","90","C0402"
"C219","16.9999mm","34.4000mm","BottomLayer","90","C0402"
"C212","25.3999mm","34.4000mm","BottomLayer","90","C0402"
"C213","24.2000mm","34.4000mm","BottomLayer","90","C0402"
"C214","22.9999mm","34.4000mm","BottomLayer","90","C0402"
"C215","21.8000mm","34.4000mm","BottomLayer","90","C0402"
"C204","35.0000mm","34.4000mm","BottomLayer","90","C0402"
"C205","33.7999mm","34.4000mm","BottomLayer","90","C0402"
"C206","32.6000mm","34.4000mm","BottomLayer","90","C0402"
"C207","31.3999mm","34.4000mm","BottomLayer","90","C0402"
"C200","39.7999mm","34.4000mm","BottomLayer","90","C0402"
"C201","38.6000mm","34.4000mm","BottomLayer","90","C0402"
"C202","37.3999mm","34.4000mm","BottomLayer","90","C0402"
"C203","36.2000mm","34.4000mm","BottomLayer","90","C0402"
"C195","28.1499mm","26.4000mm","BottomLayer","90","C0402"
"C190","13.6500mm","26.1000mm","BottomLayer","180","C0402"
"C185","35.2500mm","26.4000mm","BottomLayer","90","C0402"
"C180","19.4500mm","26.1000mm","BottomLayer","180","C0402"
"C175","25.2499mm","26.1000mm","BottomLayer","180","C0402"
"C170","7.8499mm","26.1000mm","BottomLayer","180","C0402"
"C493","1.5000mm","38.3000mm","BottomLayer","90","C0402"
"C492","2.7000mm","38.3000mm","BottomLayer","90","C0402"
"C491","3.8999mm","38.3000mm","BottomLayer","270","C0402"
"C490","5.1000mm","38.3000mm","BottomLayer","90","C0402"
"C211","26.6000mm","34.4000mm","BottomLayer","90","C0402"
"C210","27.7999mm","34.4000mm","BottomLayer","90","C0402"
"C209","29.0000mm","34.4000mm","BottomLayer","90","C0402"
"C208","30.1999mm","34.4000mm","BottomLayer","90","C0402"
"C1000","26.7999mm","15.0000mm","BottomLayer","270","C0402"
"F101","38.4999mm","4.8500mm","BottomLayer","270","SMD1206"
"R134","27.7999mm","9.0750mm","BottomLayer","180","R0603"
"R133","27.7999mm","7.9000mm","BottomLayer","180","R0603"
"C133","28.0750mm","10.1750mm","BottomLayer","0","C0402"
"R131","20.6250mm","22.9750mm","BottomLayer","0","R0402"
"U101","38.1000mm","5.2000mm","TopLayer","270","SOT-223"
"R130","29.9999mm","17.3000mm","BottomLayer","0","R0603-4"
"R129","29.9999mm","21.4000mm","BottomLayer","0","R0603-4"
"Y101","24.7000mm","7.4000mm","BottomLayer","90","SMD2012"
"C116","24.2000mm","9.3000mm","BottomLayer","0","C0402"
"C115","24.2000mm","5.4000mm","BottomLayer","0","C0402"
"C124","26.3000mm","19.5000mm","BottomLayer","0","C0402"
"R121","26.7999mm","13.1000mm","BottomLayer","90","R0402"
"R106","19.4249mm","2.2250mm","BottomLayer","270","R0603"
"J101","30.6800mm","2.0150mm","TopLayer","0",""
"C129","26.3000mm","11.2000mm","BottomLayer","0","C0402"
"C128","17.0999mm","1.5000mm","BottomLayer","270","C0402"
"C121","17.4249mm","22.4750mm","BottomLayer","90","C0402"
"C118","12.9249mm","22.9750mm","BottomLayer","180","C0402"
"C110","6.0499mm","3.6000mm","BottomLayer","180","C0402"
"C109","5.7999mm","10.4000mm","BottomLayer","270","C0402"
"C108","5.5499mm","16.1000mm","BottomLayer","270","C0402"
"R105","5.1999mm","19.7000mm","BottomLayer","0","R0402"
"R104","5.8000mm","12.9000mm","BottomLayer","270","R0603"
"R103","5.1999mm","20.7000mm","BottomLayer","0","R0402"
"R114","27.3000mm","20.5000mm","BottomLayer","180","R0402"
"U111","35.5950mm","5.4000mm","BottomLayer","0","SOT-23"
"R125","10.9000mm","20.0000mm","BottomLayer","90","R0603-4"
"C104","40.7000mm","4.9000mm","BottomLayer","180","C0402"
"C137","33.0000mm","5.4000mm","BottomLayer","90","C0402"
"D101","39.5500mm","8.1000mm","BottomLayer","0","SOD-123"
"C101","30.3500mm","1.3500mm","BottomLayer","180","C0402"
"R102","40.7000mm","6.1000mm","BottomLayer","180","R0402"
"R101","31.9000mm","11.7000mm","BottomLayer","180","R0603-4"
"D102","2.7500mm","4.7000mm","TopLayer","90","SOT23-6"
"Y102","23.9999mm","14.9000mm","BottomLayer","270","SMD5032"
"R122","7.5000mm","20.0000mm","BottomLayer","270","R0402"
"R123","8.4999mm","20.0000mm","BottomLayer","270","R0402"
"R127","21.9250mm","1.8250mm","BottomLayer","90","R0402"
"R128","18.9249mm","22.4750mm","BottomLayer","90","R0402"
"D106","31.8500mm","9.0000mm","TopLayer","0","LED-0603"
"D105","31.8500mm","10.8000mm","TopLayer","0","LED-0603"
"D107","30.0500mm","6.1000mm","BottomLayer","0","SOD-123"
"D104","31.8500mm","12.6000mm","TopLayer","0","LED-0603"
"D103","31.8500mm","14.4000mm","TopLayer","0","LED-0603"
"C140","26.7999mm","5.6000mm","BottomLayer","90","C0402"
"C132","24.0999mm","11.3000mm","BottomLayer","0","C0402"
"C136","24.1000mm","18.5000mm","BottomLayer","0","C0402"
"C127","26.2999mm","18.5000mm","BottomLayer","0","C0402"
"C139","36.2000mm","2.9000mm","BottomLayer","180","C0402"
"C138","36.2000mm","1.7750mm","BottomLayer","180","C0402"
"C130","23.9249mm","22.4750mm","BottomLayer","90","C0402"
"C131","8.1000mm","23.0000mm","BottomLayer","270","C0402"
"C122","13.0000mm","1.8000mm","BottomLayer","0","C0402"
"C114","6.0500mm","4.6000mm","BottomLayer","0","C0402"
"C119","23.5000mm","1.5000mm","BottomLayer","0","C0402"
"C103","40.7000mm","3.7000mm","BottomLayer","180","C0402"
"C113","5.9000mm","22.3000mm","BottomLayer","0","C0402"
"C102","36.4000mm","8.6000mm","BottomLayer","270","C0402"
"U105","16.1750mm","12.3500mm","TopLayer","180","LQFP144"
